"HolderAddress","Balance","PendingBalanceUpdate"
"0x28b1177660ca3a96d073b2b0037b0a29c830944e","0.971597054642244134","No"
"0x012b9cdda3dac7e2c0c3f5af9c88efcbf4df0b81","0.9","No"
"0x84d99aa569d93a9ca187d83734c8c4a519c4e9b1","0.838595319245754642","No"
"0x78f21c46e649e1a77af1b7bb86470909de2ada93","0.756","No"
"0xb2be9887cf4d0d2871baf1a7848c6f7473bf6b22","0.705189819463126849","No"
"0xeb4af8a64070ef0dea6260e0bf2310748f014d88","0.691870465259566173","No"
"0xf5dc741be1f593b1bf9d9024fa562b2d616dc210","0.6","No"
"0xedca8fee94b81dc84f75784dc329b25f63d9fba4","0.46","No"
"0x8c9d11ce64289701efeb6a68c16e849e9a2e781d","0.42","No"
"0x3bdd9487fd5bd49c8ade699b7d17a3edddeeab8f","0.367752844703809196","No"
"0x2a6da8f0d1f714ffcdaaafc6418684083cfa5228","0.361961536437832798","No"
"0x64772782129b2cb7492ac14d1e880b6c4ec5a071","0.28247913546681461","No"
"0x1e34c4c920c1b6a397cab786ebfd83dcaee1ff64","0.243745568943788717","No"
"0x43a2a720cd0911690c248075f4a29a5e7716f758","0.240030862433994969","No"
"0xf911f24d3033e6e0948020ace70c003943d3a92e","0.23","No"
"0x0a251df99a88a20a93876205fb7f5faf2e85a481","0.194880264327742215","No"
"0x4250bcab1cd79b2fc23d885fb21b23b5cb9d20cd","0.186080114492680809","No"
"0x6864d15cf60095395b771b2f88a02808e28b4ff3","0.18","No"
"0xef13101c5bbd737cfb2bf00bbd38c626ad6952f7","0.108802756697394466","No"
"0xd5b927956057075377263aab7f8afc12f85100db","0.107464433537079028","No"
"0x99a0618b846d43e29c15ac468eae06d03c9243c7","0.076831839567372741","No"
"0xb43e321254852461d4e0648d0c024abe2746ae80","0.055938826867825677","No"
"0x1f9683afc2c6393bfae7dcda87a80d5f078e3434","0.052024678668728204","No"
"0xc4f7a34b8d283f66925ef0f5ccdfc2af3030deae","0.046352625619806756","No"
"0x48712831249119a42ac64f914937ee42d999ceda","0.04","No"
"0x785e23ce040615b0510c17cadfd9ee160b83d94f","0.04","No"
"0x37f1fe0c626ab737db7b816bba4be91c838f88c2","0.025161203408865748","No"
"0x40574bd16b3614d25a76795317c7d927feac85dc","0.023573282632939217","No"
"0x6b75d8af000000e20b7a7ddf000ba900b4009a80","0.020528472237231681","No"
"0x382ffce2287252f930e1c8dc9328dac5bf282ba1","0.02","No"
"0xd48928e1b159053606b6d3497f84cf9e06510023","0.018913722736770306","No"
"0xe7660fb91fc985f7128af32c2ed8c1e88a9a5d34","0.014727097191012075","No"
"0x0eae044f00b0af300500f090ea00027097d03000","0.011625027417480514","No"
"0xff3fc77beb0add29dbba30cb407557960bb2d6a8","0.01006406827886735","No"
"0xe15dff2333b9b8ebe966ccf9fa240340387b86ff","0.01","No"
"0x3ec18ab9e6b429510fe7024912f8fdc223752201","0.01","No"
"0x62262dd7e3c2a269d9a0c8cb71166c785f5ac9dd","0.009784659408783464","No"
"0x01f5a6c579e849099a89f9c59b44720111c1c8b3","0.009776169054825478","No"
"0xb1dc62436bc918fafbf84e413028fb6ca185adba","0.009609398825771023","No"
"0x1e2bfd353d26e4ad48933c1b518a453d1440969f","0.009488657569594354","No"
"0x072b04c7cb39be816564d9cac7fc6ffac7fb8ffa","0.009473236812291369","No"
"0xa07329f4c409b5814f729a1c5a6b574684a75950","0.009460956843271338","No"
"0x1a30b2f0560fbb56578276348a07e81378d4b833","0.009378019562393473","No"
"0x26307339dd3a1c5f4650a188ec0e299dc1ed3e0c","0.009276753032824548","No"
"0x43118b6efa1ac6777b1c87702e4ae100b2d18b34","0.00904547695161639","No"
"0x0f94ee600a9bac488556dc66df25b38481360bae","0.008928562235620581","No"
"0x395ed1bbc97253602acbd303ec278812cc106b1d","0.008776665933395673","No"
"0xfe6b7a4494b308f8c0025dcc635ac22630ec7330","0.008709502463623374","No"
"0x39d2c73893e4ccf00a4dfe2eb5a28138664dcfdb","0.008621295510794705","No"
"0x6926dbc198a99a47375d085dbc980c4312214374","0.008605465221339515","No"
